질문,답변
지도교수 확인 방법,전남대 취업진로포털(https://capd.jnu.ac.kr/) → 자기계발활동기록부 → 상담 → 교수에서 지도교수를 확인할 수 있어요!
지도교수 어떻게 확인하는지,전남대 취업진로포털(https://capd.jnu.ac.kr/) → 자기계발활동기록부 → 상담 → 교수에서 지도교수를 확인할 수 있어요!
족보 어디서 얻는지,책이 바로 족보에요! 열심히 공부해보세요!
개강 언제 하는지,학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
종강 언제 하는지,학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
수업 정정 기간 언제까지인지,학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
드랍 언제까지인지,수업정정기간은 학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
학번 언제나오는지,"해마다 다르지만, 보통 입학식 즈음에 발급돼요! 정확한 일정은 학과실에 문의해보세요!"
군대 언제 가는게 좋은지,"1학년을 끝내고 바로 가는 게 좋아요. 2학년부터 본격적으로 배우는 전공지식을 까먹지 않을 수 있어요. 그리고 하루만에 끝나는 학생예비군을 3년동안 할 수 있는데, 학생예비군이 아니라면 3일동안 예비군을 해야해요."
입학 키트 언제 주는지,"과마다 다르지만, 보통 입학식 또는 새터에서 받을 수 있어요. 정확한 일정은 학과실에 문의해보세요!"
기숙사 택배 수령시간,"14:00~16:00, 20:00~21:00 시간에 수령할 수 있어요!"
긱식 식사시간,"[평일]
아침 07:30~09:00
점심 11:30~13:30
저녁 17:30~19:00

[주말]
아침 X
점심 12:00~13:30
저녁 17:30~19:00"
기숙사 식당 식사시간,"[평일]
아침 07:30~09:00
점심 11:30~13:30
저녁 17:30~19:00

[주말]
아침 X
점심 12:00~13:30
저녁 17:30~19:00"
학식 식사시간,"(평일)
아침 07:30~09:00
점심 11:30~13:30
저녁 17:30~19:00

(주말)
아침 X
점심 12:00~13:30
저녁 17:30~19:00"
학생증 사진 어디에서 바꾸는지,대학본부 1층에서 바꿀 수 있어요!
수업 책(교재)는 언제까지 준비해야 하는지,"강의계획서에 있는 책이 필요없을 때도 많으니, 오리엔테이션에 참석해서 교수님께 질문해보세요!"
중간고사 언제 보는지,학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
기말고사 언제 보는지,학사일정(https://events.jnu.ac.kr/Schedule.aspx?mode=1)을 확인해주세요!
동아리 신청일,동아리별로 달라요. 동아리 회장에게 문의해 보는 게 좋아요. 총동연 인스타그램을 참고해주세요! https://www.instagram.com/jnu_accompany?igsh=MTN2YXIzODBpMjV4ZQ==
기숙사 통금시간 몇시부터 몇시까지인지,01:00~05:00까지 통금시간이에요!
긱사 통금시간 몇시부터 몇시까지인지,01:00~05:00까지 통금시간이에요!
신입생은 기숙사 몇 동을 신청할 수 있는지,신입생은 기숙사 9동만 신청할 수 있어요!
기숙사 입주 첫 날에 학교에 사람이 많이 모이는지,아주 많이 모여요. 일찍 오는 걸 추천드려요!
기숙사 몇 층을 쓰는게 좋은지,소음에 민감하다면 고층을 추천드려요!
기숙사 방의 방향은 어디가 좋은지,기숙사끼리 마주보지 않는 방이 쾌적해요!
기숙사에서 외박해도 되는지,"큰 문제는 없지만, 정기점검 날에는 꼭 방에 있어야 해요!"
기숙사에서 배달 시켜먹어도 되는지,배달 시켜먹어도 문제없어요!
기숙사에서 택배 시키는 방법,광주광역시 북구 용봉동77 ?동 ???호 주소로 택배시키면 돼요!
기숙사 장기에서 단기로 전환하는 방법,생활관 홈페이지 → MyPage → 입주정보 → '단기퇴관 신청서' 를 작성하시면 돼요!
MT(엠티) 언제인지,과별로 상이해요. 학과실에 문의해 주세요!
새터 언제인지,과별로 상이해요. 학과실에 문의해 주세요!
개총 언제인지,과별로 상이해요. 학과실에 문의해 주세요!
